Nombre;Sexe;Annee;Prenoms;Nombre total cumule par annee
8;F;2018;Serena;8
108;M;2018;Simon;108
8;F;2018;Tal;8
10;M;2018;Tao;10
16;M;2018;Tiago;16
17;M;2018;Timéo;17
46;M;2018;Tom;46
7;F;2018;Vera;7
11;M;2018;Xavier;11
6;M;2018;Yaya;6
223;F;2019;Louise;223
166;M;2019;Noah;166
110;F;2019;Zoé;110
84;F;2019;Julia;84
79;M;2019;Amir;79
72;F;2019;Margaux;72
56;F;2019;Clémence;56
48;F;2019;Capucine;48
46;M;2019;Ilyes;46
36;F;2019;Eléonore;36
28;F;2019;Dina;28
26;M;2019;Owen;26
20;M;2019;Amadou;20
20;M;2019;Loup;20
19;F;2019;Judith;19
17;M;2019;Mathéo;17
16;M;2019;Bastien;16
16;M;2019;Cheick;16
16;F;2019;Aïssata;16
16;F;2019;Aria;16
14;M;2019;Alphonse;14
14;M;2019;Lazare;14
14;F;2019;Marguerite;14
13;M;2019;Aubin;13
13;M;2019;Esteban;13
13;F;2019;Simone;13
13;F;2019;Yaël;13
12;F;2019;Aïssatou;12
12;F;2019;Salimata;12
11;M;2019;Daouda;11
11;F;2019;Amandine;11
11;F;2019;Ysé;11
10;M;2019;Corentin;10
10;M;2019;Paolo;10
10;M;2019;Yasser;10
10;F;2019;Fatim;10
9;M;2019;Clarence;9
9;M;2019;Kayden;9
9;M;2019;Modibo;9
9;F;2019;Eléna;9
8;M;2019;Ismail;8
8;M;2019;Tim;8
21;F;2006;Kelly;21
9;M;2006;Lamine;9
29;F;2006;Léane;29
6;F;2006;Lindsay;6
6;M;2006;Loup;6
22;M;2006;Luka;22
5;F;2006;Maélys;5
8;M;2006;Mathurin;8
13;M;2006;Maxim;13
5;F;2006;Meryem;5
6;M;2006;Mouhamed;6
16;F;2006;Naomie;16
20;M;2006;Nassim;20
5;F;2006;Noor;5
14;F;2006;Ornella;14
7;M;2006;Rohan;7
100;F;2006;Romane;100
5;M;2006;Rony;5
6;F;2006;Ruth;6
7;M;2006;Ryad;7
133;M;2006;Sacha;133
25;M;2006;Sébastien;25
9;F;2006;Sérine;9
25;F;2006;Sirine;25
24;F;2006;Solène;24
14;F;2006;Tara;14
48;M;2006;Timothée;48
5;M;2006;Yani;5
7;M;2006;Yaya;7
8;M;2006;Yvan;8
18;M;2006;Zacharie;18
5;M;2007;Abraham;5
5;F;2007;Aglaé;5
78;F;2007;Ambre;78
10;F;2007;Anastasia;10
11;M;2007;Angelo;11
6;M;2007;Anselme;6
241;M;2007;Arthur;241
5;M;2007;Artur;5
18;F;2007;Astrid;18
5;F;2007;Ayline;5
5;M;2007;Brayan;5
16;F;2007;Charline;16
6;F;2007;Christelle;6
8;F;2007;Christine;8
7;F;2007;Daphnée;7
25;M;2007;Dimitri;25
6;F;2007;Eleanor;6
6;F;2007;Elora;6
12;F;2007;Fanta;12
8;M;2007;Flavio;8
16;F;2007;Flore;16
37;M;2007;Gabin;37
85;F;2007;Gabrielle;85
18;F;2007;Giulia;18
9;M;2007;Guilhem;9
13;F;2007;Hanna;13
7;F;2007;Héléna;7
8;F;2007;Imène;8
7;M;2007;Issam;7
5;F;2007;Liza;5
6;M;2007;Lou;6
5;F;2007;Malika;5
5;M;2007;Malone;5
6;F;2007;Manelle;6
120;F;2007;Manon;120
14;M;2007;Moustapha;14
64;F;2007;Myriam;64
17;F;2007;Naomi;17
7;M;2007;Nazim;7
9;M;2007;Nikola;9
29;M;2007;Nils;29
23;F;2007;Pénélope;23
25;F;2007;Rania;25
57;M;2007;Ruben;57
7;M;2007;Saïd;7
33;F;2007;Sasha;58
18;F;2007;Shirel;18
5;M;2007;Stanley;5
5;F;2007;Sylvie;5
15;F;2007;Tatiana;15
24;F;2007;Tess;24
37;M;2007;Thibault;37
71;M;2007;Timothée;71
5;M;2007;Valentino;5
16;F;2007;Vanessa;16
10;F;2007;Yaël;10
15;M;2007;Yannick;15
6;F;2007;Zineb;6
13;M;2008;Adrian;13
117;M;2008;Adrien;117
31;F;2008;Alma;31
5;M;2008;Alpha;5
9;F;2008;Alya;9
7;F;2008;Ambrine;7
18;F;2008;Amina;18
16;F;2008;Andréa;25
14;F;2008;Anissa;14
21;M;2008;Anton;21
267;M;2008;Arthur;267
15;F;2008;Ashley;15
93;M;2008;Axel;93
27;M;2008;Balthazar;27
35;F;2008;Blanche;35
8;M;2008;Brieuc;8
27;F;2008;Céline;27
16;M;2008;Dorian;16
69;M;2008;Elias;69
